Date,Symbol,Open,High,Low,Close,Volume ETH,Volume TUSD,tradecount
4/21/2022,ETHTUSD,3077.51,3177.29,2947.74,2986.38,244.1043,747782.3245,1411
4/20/2022,ETHTUSD,3101.31,3163.88,3038.35,3077.24,146.8882,455774.1258,1202
4/19/2022,ETHTUSD,3055.97,3128.8,3033.17,3101.87,179.6051,552970.8888,1207
4/18/2022,ETHTUSD,2989.12,3067.67,2885.87,3057.14,293.941,867519.189,1496
4/17/2022,ETHTUSD,3060.31,3081.34,2984.05,2990.39,111.3634,339362.097,788
4/16/2022,ETHTUSD,3043.69,3083.53,3008.6,3060.36,113.4114,345081.3382,688
4/15/2022,ETHTUSD,3021.88,3059.12,2996.19,3041.38,124.4355,376436.5167,1070
4/14/2022,ETHTUSD,3118.28,3143.68,2978.36,3019.18,239.0005,730213.3276,1299
4/13/2022,ETHTUSD,3031.23,3128.62,3000,3116.69,175.9583,541508.8428,1342
4/12/2022,ETHTUSD,2979.35,3081.79,2952.9,3031.23,327.8178,985862.2482,1825
4/11/2022,ETHTUSD,3203.04,3212.82,2954.12,2978.66,493.9899,1508520.53,2362
4/10/2022,ETHTUSD,3261.75,3307.33,3194.48,3202.82,156.4867,508345.286,896
4/9/2022,ETHTUSD,3191.93,3266.05,3182.97,3256.76,100.5345,323016.8547,971
4/8/2022,ETHTUSD,3229.99,3313.96,3176.02,3195.08,297.6847,969297.0488,1939
4/7/2022,ETHTUSD,3168.31,3267.29,3141.34,3227.17,658.599,2118093.7,2711
4/6/2022,ETHTUSD,3404.93,3405.7,3163.59,3170.68,568.9677,1853601.415,3039
4/5/2022,ETHTUSD,3518.05,3554.47,3399.07,3410.99,364.971,1270465.358,1811
4/4/2022,ETHTUSD,3522.57,3546.69,3406.15,3520.92,241.5779,843862.1836,1587
4/3/2022,ETHTUSD,3445.53,3580.41,3413.37,3522.99,204.2071,714084.3993,1474
4/2/2022,ETHTUSD,3454.45,3537.02,3434.36,3446.31,282.164,983407.4345,1676
4/1/2022,ETHTUSD,3281.79,3481.7,3210.9,3453.76,206.9327,694961.8195,1563
